total_bill,tip,sex,day,time,size,foodquality,age
850,200,Male,Sun,Dinner,7,Average,18-22
850,200,Male,Tue,Dinner,8,Poor,18-22
850,200,Male,Wed,Dinner,9,Poor,18-22
1200,120,Male,Thu,Dinner,10,Poor,18-22
1200,120,Male,Sun,Dinner,11,Poor,18-22
1200,120,Male,Sun,Dinner,12,Poor,18-22
700,50,female,Sun,Dinner,5,Poor,18-22
600,60,Male,Mon,Dinner,6,Poor,18-22
500,20,Male,Tue,Dinner,6,Poor,18-22
560,50,Male,Wed,Lunch,5,Poor,18-22
266,50,Male,Sun,Lunch,2,Poor,18-22
267,50,Male,Fri,Dinner,2,Average,18-22
268,50,Male,Sat,Dinner,2,Good,18-22
269,50,Male,Sun,Dinner,2,Good,18-22
270,50,female,Mon,Dinner,2,Good,18-22
271,50,Male,Tue,Lunch,2,Good,18-22
272,50,Male,Wed,Dinner,2,Good,33-37
273,50,Male,Sun,Dinner,2,Good,33-37
750,100,female,Sun,Dinner,6,Good,33-37
1200,120,Male,Sat,Dinner,11,Good,33-37
1200,120,Male,Sun,Dinner,11,Good,33-37
1200,120,female,Mon,Dinner,12,Good,38-42
1200,120,female,Sun,Lunch,12,Good,38-42
1200,120,Male,Wed,Dinner,10,Good,38-42
1250,200,Male,Thu,Dinner,9,Poor,38-42
850,50,female,Fri,Lunch,9,Poor,38-42
1000,200,Male,Sat,Lunch,9,Poor,38-42
850,200,Male,Sun,Dinner,8,Poor,23-27
900,200,Male,Mon,Dinner,8,Good,23-27
825,100,female,Sun,Lunch,7,Good,23-27
600,100,Male,Wed,Dinner,6,excellent,38-42
1400,200,female,Sun,Dinner,8,excellent,38-42
1700,200,female,Fri,Lunch,10,excellent,38-42
